fecha,local,visitante,goles_local,goles_visitante
2026-09-01,Bolívar,The Strongest,2,1
2026-09-01,Always Ready,Wilstermann,2,0
2026-09-01,Oriente Petrolero,Blooming,0,0
2026-09-08,Bolívar,Always Ready,1,0
2026-09-08,Oriente Petrolero,The Strongest,4,0
2026-09-08,Blooming,Wilstermann,1,1
2026-09-15,Bolívar,Oriente Petrolero,3,1
2026-09-15,Blooming,Always Ready,1,3
2026-09-15,Wilstermann,The Strongest,2,1
2026-09-22,Bolívar,Blooming,2,0
2026-09-22,Wilstermann,Oriente Petrolero,2,1
2026-09-22,The Strongest,Always Ready,2,2
2026-09-29,Bolívar,Wilstermann,1,1
2026-09-29,The Strongest,Blooming,4,2
2026-09-29,Always Ready,Oriente Petrolero,1,2
